id,grandPrixId,name,qualyFormat,circuitId,scheduledLaps,posterURL
1967-04,belgium,1967 Belgian Grand Prix,TWO_SESSION,spa-francorchamps,28,https://www.progcovers.com/motor/spa670618.jpg
1967-05,france,Grand Prix de France 1967,TWO_SESSION,bugatti,80,https://www.progcovers.com/motor/lemans670702.jpg
1967-06,great-britain,1967 RAC British Grand Prix,TWO_SESSION,silverstone,80,https://www.progcovers.com/motor/silverstone670715.jpg
1967-07,germany,Grosser Preis von Deutschland 1967,TWO_SESSION,nurburgring,15,https://www.progcovers.com/motor/nurburgring670806.jpg
1967-08,canada,Player's Canadian Grand Prix 1967,TWO_SESSION,mosport,90,https://www.progcovers.com/motor/mosport_cover_gp67.jpg
1967-09,italy,Gran Premio d'Italia 1967,TWO_SESSION,monza,68,https://www.progcovers.com/motor/monza_programme.jpg
1967-10,united-states,1967 United States Grand Prix,TWO_SESSION,watkins-glen,108,https://www.progcovers.com/motor/glen67.jpg
1967-11,mexico,Gran Premio de México 1967,TWO_SESSION,mexico-city,65,https://www.progcovers.com/motor/mexico67.jpeg
1968-01,south-africa,South African Grand Prix 1968,TWO_SESSION,kyalami,80,https://www.progcovers.com/motor/kyalami680101.jpg
1968-02,spain,Gran Premio de España 1968,TWO_SESSION,jarama,90,
1968-03,monaco,Grand Prix de Monaco 1968,TWO_SESSION,monaco,80,https://www.progcovers.com/motor/monaco680526.jpg
1968-04,belgium,1968 Belgian Grand Prix,TWO_SESSION,spa-francorchamps,28,https://www.progcovers.com/motor/spa68_2.jpg
1968-05,netherlands,Grote Prijs van Nederland 1968,TWO_SESSION,zandvoort,90,https://www.progcovers.com/motor/zandvoort680623.jpg
1968-06,france,Grand Prix de France 1968,TWO_SESSION,rouen,60,https://www.progcovers.com/motor/rouen68.jpg
1968-07,great-britain,1968 RAC British Grand Prix,TWO_SESSION,brands-hatch,80,https://www.progcovers.com/motor/brands680720.jpg
1968-08,germany,Grosser Preis von Deutschland 1968,TWO_SESSION,nurburgring,14,https://www.progcovers.com/motor/nurburgring680804.jpg
1968-09,italy,Gran Premio d'Italia 1968,TWO_SESSION,monza,68,https://www.progcovers.com/motor/monza680908.jpg
1968-10,canada,Player's Canadian Grand Prix 1968,TWO_SESSION,mont-tremblant,90,https://www.progcovers.com/motor/monttremblant680922.jpg
1968-11,united-states,1968 United States Grand Prix,TWO_SESSION,watkins-glen,108,https://www.progcovers.com/motor/watglen68.jpg
1968-12,mexico,Gran Premio de México 1968,TWO_SESSION,mexico-city,65,https://www.progcovers.com/motor/mexico68.jpeg
1969-01,south-africa,South African Grand Prix 1969,TWO_SESSION,kyalami,80,https://www.progcovers.com/motor/kya69.jpg
1969-02,spain,Gran Premio de España 1969,TWO_SESSION,montjuic,90,https://www.progcovers.com/motor/montjuic690504.jpg
1969-03,monaco,Grand Prix de Monaco 1969,TWO_SESSION,monaco,80,https://www.progcovers.com/motor/monaco690518.jpg
1969-04,netherlands,Grote Prijs van Nederland 1969,TWO_SESSION,zandvoort,90,https://www.progcovers.com/motor/zandvoort690621.jpg
1969-05,france,Grand Prix de France 1969,TWO_SESSION,clermont-ferrand,38,https://www.progcovers.com/motor/clermont690706.jpg
1969-06,great-britain,1969 RAC British Grand Prix,TWO_SESSION,silverstone,84,https://www.progcovers.com/motor/silverstone690719.jpg
1969-07,germany,Grosser Preis von Deutschland 1969,TWO_SESSION,nurburgring,14,https://www.progcovers.com/motor/nurburgring690803.jpg
1969-08,italy,Gran Premio d'Italia 1969,TWO_SESSION,monza,68,https://www.progcovers.com/motor/monza69.jpg
1969-09,canada,Player's Canadian Grand Prix 1969,TWO_SESSION,mosport,90,https://www.progcovers.com/motor/mosport69.jpg
1969-10,united-states,1969 United States Grand Prix,TWO_SESSION,watkins-glen,108,https://www.progcovers.com/motor/watkinsglen691005.jpg
1969-11,mexico,Gran Premio de México 1969,TWO_SESSION,mexico-city,65,https://www.progcovers.com/motor/mexico691019.jpg
1970-01,south-africa,South African Grand Prix 1970,TWO_SESSION,kyalami,80,https://www.progcovers.com/motor/southafrica70.jpg
1970-02,spain,Gran Premio de España 1970,TWO_SESSION,jarama,90,https://www.progcovers.com/motor/jarama700419.jpg
1970-03,monaco,Grand Prix de Monaco 1970,TWO_SESSION,monaco,80,https://www.progcovers.com/motor/monaco700510.jpg
1970-04,belgium,1970 Belgian Grand Prix,TWO_SESSION,spa-francorchamps,28,https://www.progcovers.com/motor/spa70.jpg
1970-05,netherlands,Grote Prijs van Nederland 1970,TWO_SESSION,zandvoort,80,https://www.progcovers.com/motor/zandvoort700621.jpg
1970-06,france,Grand Prix de France 1970,TWO_SESSION,clermont-ferrand,38,https://www.progcovers.com/motor/clermontferrand700705.jpg
1970-07,great-britain,1970 RAC British Grand Prix,TWO_SESSION,brands-hatch,80,https://www.progcovers.com/motor/brands700718.jpg
1970-08,germany,Grosser Preis von Deutschland 1970,TWO_SESSION,hockenheimring,50,https://www.progcovers.com/motor/hockenheim700802.jpg
1970-09,austria,Grosser Preis von Ã–sterreich 1970,TWO_SESSION,spielberg,60,
1970-10,italy,Gran Premio d'Italia 1970,TWO_SESSION,monza,68,https://www.progcovers.com/motor/monza700906.jpg
1970-11,canada,Player's Canadian Grand Prix 1970,TWO_SESSION,mont-tremblant,90,https://www.progcovers.com/motor/mttremblant700920.jpg
1970-12,united-states,1970 United States Grand Prix,TWO_SESSION,watkins-glen,108,https://www.progcovers.com/motor/watkinsglen701004.jpg
1970-13,mexico,Gran Premio de México 1970,TWO_SESSION,mexico-city,65,https://www.progcovers.com/motor/mexico701025.jpg
1971-01,south-africa,South African Grand Prix 1971,TWO_SESSION,kyalami,79,https://www.progcovers.com/motor/kyalami710306.jpg
1971-02,spain,Gran Premio de España 1971,TWO_SESSION,montjuic,75,https://www.progcovers.com/motor/montjuic710418.jpg
1971-03,monaco,Grand Prix de Monaco 1971,TWO_SESSION,monaco,80,https://www.progcovers.com/motor/monaco710523.jpg
1971-04,netherlands,Grote Prijs van Nederland 1971,TWO_SESSION,zandvoort,70,https://www.progcovers.com/motor/zandvoort710620.jpg
1971-05,france,Grand Prix de France 1971,TWO_SESSION,paul-ricard,55,https://www.progcovers.com/motor/paulricard710704.jpg
1971-06,great-britain,1971 Woolmark British Grand Prix,TWO_SESSION,silverstone,68,https://www.progcovers.com/motor/silverstone710717.jpg
1971-07,germany,Grosser Preis von Deutschland 1971,TWO_SESSION,nurburgring,12,https://www.progcovers.com/motor/nurburgring710801.jpg
1971-08,austria,Grosser Preis von Ã–sterreich 1971,TWO_SESSION,spielberg,54,https://www.progcovers.com/motor/osterreichring710815.jpg
1971-09,italy,Gran Premio d'Italia 1971,TWO_SESSION,monza,55,https://www.progcovers.com/motor/monza71.jpg
1971-10,canada,Player's Canadian Grand Prix 1971,TWO_SESSION,mosport,80,https://www.progcovers.com/motor/mosport71.jpg
1971-11,united-states,1971 United States Grand Prix,TWO_SESSION,watkins-glen,59,https://www.progcovers.com/motor/watkinsglen711003.jpg
1972-01,argentina,Gran Premio de Argentina 1972,TWO_SESSION,buenos-aires,95,https://www.progcovers.com/motor/buenosaires720123.jpg
1972-02,south-africa,South African Grand Prix 1972,TWO_SESSION,kyalami,79,https://www.progcovers.com/motor/kyalami720304.jpg
1972-03,spain,Gran Premio de España 1972,TWO_SESSION,jarama,90,https://www.progcovers.com/motor/jarama720501.jpg
1972-04,monaco,Grand Prix de Monaco 1972,TWO_SESSION,monaco,80,https://www.progcovers.com/motor/monaco720514.jpg
1972-05,belgium,1972 Belgian Grand Prix,TWO_SESSION,nivelles,85,https://www.progcovers.com/motor/nivelles72.jpg
1972-06,france,Grand Prix de France 1972,TWO_SESSION,clermont-ferrand,38,https://www.progcovers.com/motor/clermont_ferrand72.jpg
1972-07,great-britain,1972 John Player British Grand Prix,TWO_SESSION,brands-hatch,76,https://www.progcovers.com/motor/brands720715.jpg
1972-08,germany,Grosser Preis von Deutschland 1972,TWO_SESSION,nurburgring,14,https://www.progcovers.com/motor/nurburgring720730.jpg
1972-09,austria,Grosser Preis von Ã–sterreich 1972,TWO_SESSION,spielberg,54,https://www.progcovers.com/motor/osterreichring720813.jpg
1972-10,italy,Gran Premio d'Italia 1972,TWO_SESSION,monza,55,https://www.progcovers.com/motor/monza72.jpg
1972-11,canada,Labatt's Canadian Grand Prix 1972,TWO_SESSION,mosport,80,https://www.progcovers.com/motor/mosport72.jpg
