id,eventId,abbreviation,startDateTime
2018-21-FP1,2018-21,FP1,
2019-01-FP1,2019-01,FP1,
2019-02-FP1,2019-02,FP1,
2019-03-FP1,2019-03,FP1,
2019-04-FP1,2019-04,FP1,
2019-05-FP1,2019-05,FP1,
2019-06-FP1,2019-06,FP1,
2019-07-FP1,2019-07,FP1,
2019-08-FP1,2019-08,FP1,
2019-09-FP1,2019-09,FP1,
2019-10-FP1,2019-10,FP1,
2019-11-FP1,2019-11,FP1,
2019-12-FP1,2019-12,FP1,
2019-13-FP1,2019-13,FP1,
2019-14-FP1,2019-14,FP1,
2019-15-FP1,2019-15,FP1,
2019-16-FP1,2019-16,FP1,
2019-17-FP1,2019-17,FP1,
2019-18-FP1,2019-18,FP1,
2019-19-FP1,2019-19,FP1,
2019-20-FP1,2019-20,FP1,
2019-21-FP1,2019-21,FP1,
2020-01-FP1,2020-01,FP1,
2020-02-FP1,2020-02,FP1,
2020-03-FP1,2020-03,FP1,
2020-04-FP1,2020-04,FP1,
2020-05-FP1,2020-05,FP1,
2020-06-FP1,2020-06,FP1,
2020-07-FP1,2020-07,FP1,
2020-08-FP1,2020-08,FP1,
2020-09-FP1,2020-09,FP1,
2020-10-FP1,2020-10,FP1,
2020-12-FP1,2020-12,FP1,
2020-13-FP1,2020-13,FP1,
2020-14-FP1,2020-14,FP1,
2020-15-FP1,2020-15,FP1,
2020-16-FP1,2020-16,FP1,
2020-17-FP1,2020-17,FP1,
2021-01-FP1,2021-01,FP1,
2021-02-FP1,2021-02,FP1,
2021-03-FP1,2021-03,FP1,
2021-04-FP1,2021-04,FP1,
2021-05-FP1,2021-05,FP1,
2021-06-FP1,2021-06,FP1,
2021-07-FP1,2021-07,FP1,
2021-08-FP1,2021-08,FP1,
2021-09-FP1,2021-09,FP1,
2021-10-FP1,2021-10,FP1,
2021-11-FP1,2021-11,FP1,
2021-12-FP1,2021-12,FP1,
2021-13-FP1,2021-13,FP1,
2021-14-FP1,2021-14,FP1,
2021-15-FP1,2021-15,FP1,
2021-16-FP1,2021-16,FP1,
2021-17-FP1,2021-17,FP1,
2021-18-FP1,2021-18,FP1,
2021-19-FP1,2021-19,FP1,
2021-20-FP1,2021-20,FP1,
2021-21-FP1,2021-21,FP1,
2021-22-FP1,2021-22,FP1,
2022-01-FP1,2022-01,FP1,
2022-02-FP1,2022-02,FP1,
2022-03-FP1,2022-03,FP1,
2022-04-FP1,2022-04,FP1,
2022-05-FP1,2022-05,FP1,
2022-06-FP1,2022-06,FP1,
2022-07-FP1,2022-07,FP1,
2022-08-FP1,2022-08,FP1,
2022-09-FP1,2022-09,FP1,
2022-10-FP1,2022-10,FP1,
2022-11-FP1,2022-11,FP1,
2022-12-FP1,2022-12,FP1,
2022-13-FP1,2022-13,FP1,
2022-14-FP1,2022-14,FP1,
2022-15-FP1,2022-15,FP1,
2022-16-FP1,2022-16,FP1,
2022-17-FP1,2022-17,FP1,
2022-18-FP1,2022-18,FP1,
2022-19-FP1,2022-19,FP1,
